Game Name,Developer,Release year,Price,Genres,Review %,Max Reviewers,Minimum Owners,Maximum Owners
Stronghold: Warlords,FireFly Studios,2021,19.99,"Simulation,Strategy",0.63,2417,100000,200000
Retro Machina,Orbit Studio,2021,8.49,"Action,Adventure,Indie",0.89,92,20000,50000
Totally Reliable Delivery Service,We're Five Games,2021,7.49,"Action,Adventure,Casual,Indie,Racing,Simulation",0.78,261,20000,50000
INDUSTRIA,Bleakmill,2021,16.99,"Action,Adventure,Indie",0.77,627,50000,100000
Thunder Tier One,"KRAFTON, Inc.",2021,19.99,"Action,Simulation,in Early Access",0.83,2521,200000,500000
Hammerting,Warpzone Studios,2021,16.74,"Adventure,Indie,RPG,Simulation,Strategy",0.72,1105,100000,200000
Lumberhill,"2BIGo, ARP Games",2021,9.89,"Action,Adventure,Casual,Indie,Simulation",0.78,90,50000,100000
Prince of Qin,Object Software,2021,5.99,"Action,Adventure,RPG",0.94,36,0,20000
To The Rescue!,Little Rock Games,2021,13.99,"Casual,Indie,Simulation",0.73,635,20000,50000
Buildings Have Feelings Too!,Blackstaff Games,2021,5.99,"Indie,Simulation,Strategy",0.57,35,0,20000
Eximius: Seize the Frontline,Ammobox Studios,2021,10.19,"Action,Strategy,in Early Access",0.77,390,50000,100000
Shelter 3,Might and Delight,2021,7.49,"Adventure,Casual,Indie",0.54,224,0,20000
Bikini Island Challenge,Instantiated Entertainment,2021,0.0,"Adventure,Free to Play,Indie,RPG,Early Access",0.24,50,0,20000
College Kings - Act I,Undergrad Steve,2021,0.0,"Casual,Free to Play,Indie,in Early Access",0.92,5947,0,20000
Lands Of Peace: Legends - Chapter 1,Steve Madison,2021,0.0,"Adventure,Free to Play,Indie,RPG,Simulation,in Early Access",0.32,79,0,20000
Merge Nymphs,Fadorable Games LTD,2021,0.0,"Casual,Free to Play,Strategy",0.66,218,0,20000
The Surfeit: Episode 1,WB Freeborn,2021,0.0,Indie,0.6,10,0,20000
OnlyCans: Thirst Date,OnlyCans Team,2021,0.0,"Free to Play,Indie,Simulation",0.96,1246,0,20000
Retention: A Love Story,"Gavin Looker, Nick Mellott, Alex Runnels, Shawn Lascelles, Lyndell Goldson, Conrad Miller, Josh Finklestein, Liz Hanson, Nick Ciulla, Justin Vaz, Kiane Thomas, Noah Scarborough, Max Weyant, Edward Oliver, Amba Moore, Jingyi Song, Kath",2021,0.0,"Casual,Indie",0.4,10,0,20000
Freelancer Life Simulator: Prologue,DiamosDev,2021,0.0,"Adventure,Casual,Indie,Simulation",0.18,16,0,20000
Kittens' Maze,Aasura Project,2021,0.0,"Free to Play,Indie",0.33,12,0,20000
修真之路,游韵游戏网络公司,2021,0.0,"Casual,Free to Play,Simulation,Strategy",0.33,15,0,20000
三国志奇侠传,炎黄工作室,2021,0.0,"Adventure,Free to Play,RPG,Simulation",0.23,21,0,20000
Alphadeck,ElvGames,2021,0.0,"Casual,Free to Play,Indie,Strategy",0.46,13,0,20000
极限求生,陈 世杰,2021,0.0,"Free to Play,Indie,Massively Multiplayer,RPG",0.42,14,200000,500000
Infinite Dungeon Crawler,DD-Consulting,2021,0.0,RPG,0.37,16,20000,50000
末日血战,猕猴桃游戏,2021,0.0,"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy",0.35,17,20000,50000
ELIOS VR,FINGEREYES,2021,0.0,"Action,Indie,Massively Multiplayer,Early Access",0.22,27,0,20000
Farlight Commanders: Prologue,Farlight Games Industry,2021,0.0,"Action,Adventure,Free to Play,Indie,Simulation",0.63,11,0,20000
Free Solo: One Life,Omey Salvi,2021,0.0,"Casual,Free to Play",0.8,10,0,20000
循环世界,绿野,2021,0.0,"Casual,Indie,Racing,Simulation,Strategy",0.66,12,0,20000
Mercenary Skirmish,4ugui,2021,0.0,"Action,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",0.66,12,100000,200000
Climb Fall Human Guys,NeedFreeMove,2021,0.59,"Action,Adventure,Casual,Indie,Racing,Early Access",0.5,10,0,20000
Connect Chat,DMM VR lab,2021,0.0,"Casual,Free to Play,Massively Multiplayer,Early Access",0.57,14,0,20000
Guardians of Greyrock,MythicWare,2021,0.0,"Adventure,Casual,Free to Play,Indie,Strategy",0.42,19,0,20000
Warriors Of Titus - F2P,Martin Kutlak,2021,0.0,"Action,Indie",0.75,12,20000,50000
SPY ESCAPE,Vantan Game Academy Tokyo,2021,0.0,Casual,0.9,11,0,20000
Silent Earth,Fring Frang Games,2021,0.0,Adventure,0.83,12,0,20000
Ulna Online,Moscano,2021,0.0,"Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Early Access",0.58,17,0,20000
Destiny Island,Empty Essence,2021,0.0,"Indie,Simulation",0.55,18,0,20000
Dairy Dave,mistertabasco,2021,0.0,Casual,1.0,11,20000,50000
Balloon Blast,Leland Wilson,2021,0.0,"Action,Casual,Indie,in Early Access",0.91,12,0,20000
Quiet Thoughts,Luka Radulovic,2021,0.0,Indie,0.73,15,0,20000
SC2KRender,Aleksander Krimsky,2021,0.0,"Indie,Utilities",1.0,12,0,20000
u evade,u&i,2021,0.0,"Casual,Free to Play,Indie",0.85,14,0,20000
Hero's everyday life,Enoops,2021,0.0,"Action,Adventure,RPG",0.85,14,0,20000
lightblue,uut games,2021,0.0,"Action,Adventure,Indie",0.63,19,0,20000
Wow Dance,"Prometheus Vision Technology Co., Ltd.",2021,0.0,"Casual,Free to Play",0.6,20,0,20000
RoomFacing,Zzwei,2021,0.0,"Action,Sports,Early Access",1.0,13,0,20000
Oakrot - it's literally a book,louis morel,2021,0.0,"Casual,Indie,Simulation",1.0,13,0,20000
Aspiring Light,JY_2000,2021,0.0,"Casual,Free to Play,Indie",0.92,14,0,20000
Puzlkind,"Michael Ferrier, Sarah Jane Lapp",2021,0.0,"Casual,Free to Play,Massively Multiplayer",0.86,15,0,20000
Invisible Wings,Audune Games,2021,0.0,"Adventure,Free to Play,Indie",0.76,17,20000,50000
Boom,Morningstar Studios,2021,0.0,"Indie,Strategy",0.76,17,0,20000
Salto,"Michal Cichra, Andrzej Jarzyna, Steven Willmott",2021,0.0,"Action,Casual,Indie",0.76,17,0,20000
Tube Tussle,Salt Water Studios,2021,0.0,"Casual,Free to Play",0.68,19,0,20000
Machinist,上海沙界软件有限公司,2021,0.0,"Casual,Free to Play,Indie,RPG,Simulation,Strategy,Early Access",0.65,20,0,20000
VirtuaCreature,Zero Imagination Productions,2021,0.0,"Casual,Free to Play,Indie,RPG,Simulation",0.61,21,20000,50000
"Survival Horror #8,436",Lickbeans Interactive,2021,0.0,"Action,Free to Play",0.59,22,0,20000
Raging Ball,Mugule Nation,2021,0.0,Indie,0.93,15,0,20000
FreeDraw,Banco,2021,0.0,Casual,0.87,16,0,20000
Orion: The Eternal Punishment,Frogames SL,2021,0.0,"Action,Adventure,Indie",0.73,19,20000,50000
Eviron's Chronicles,Time Stealers Studio,2021,0.0,"Massively Multiplayer,RPG,Strategy",0.73,19,0,20000
Andromeda 2 Zombies,Yann GEFFROTIN,2021,0.0,"Action,Free to Play,RPG",0.45,31,0,20000
Loopomotive,Shy Pixel,2021,0.0,"Casual,Indie",0.83,18,0,20000
We're All Going To Die,BlackBanshee Studios,2021,0.0,"Action,Casual,Free to Play,Indie,Strategy",0.55,27,0,20000
Rezzil Player 21,Rezzil,2021,0.0,"Casual,Free to Play,Simulation,Sports",1.0,16,20000,50000
Unfolded : Camellia Tales - Prologue,COSDOTS,2021,0.0,Adventure,0.88,18,0,20000
Adventure War : Battlefield,Gold Turtle Games,2021,0.0,"Action,Adventure,Free to Play,Indie,RPG,in Early Access",0.61,26,0,20000
Cross Soul,Midori Games / みどりげーむず,2021,0.0,"Action,RPG",0.59,27,0,20000
Dura Vita Online,PBS Designs,2021,0.0,"Action,Adventure,Indie,RPG,Early Access",0.59,27,0,20000
